Name,Spec
온유어사이드 넛츠그린 제로 스파클링 자몽블랙티 350ml,"탄산음료/환타·웰치스/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 350ml당 열량: 0kcal"
풀무원샘물 스파클링 브리지톡 진저에일제로 350ml,"탄산음료/그외 음료/포장형태: 페트/제로칼로리/칵테일용/
[영양정보] 1회 제공량 350ml당 열량: 0kcal"
일화 탑씨 제로 수박 1.5L,"탄산음료/환타·웰치스/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 100ml당 열량: 0kcal"
풀무원샘물 스파클링 브리지톡 피치 블랙티 제로 350ml,"탄산음료/환타·웰치스/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 350ml당 열량: 0kcal"
코카콜라음료 코카콜라 제로 슈거 제로 카페인 250ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal"
던킨도너츠 던킨 제로 스파클링 배 350ml,"탄산음료/환타·웰치스/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 350ml당 열량: 0kcal"
던킨도너츠 던킨 제로 스파클링 자두 350ml,"탄산음료/환타·웰치스/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 350ml당 열량: 0kcal"
롯데칠성음료 칠성사이다 제로 블루라임 355ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal"
롯데칠성음료 칠성사이다 제로 블루라임 500ml,"탄산음료/사이다/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 500ml당 열량: 0kcal"
롯데칠성음료 칠성사이다 제로 블루라임 250ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal"
대일F&B 참맑은 톡톡 포도 185ml,"탄산음료/환타·웰치스/포장형태: 캔/박스/
[영양정보] 1회 제공량 185ml당 열량: 85kcal"
대일F&B 참맑은 톡톡 파인애플향 185ml,"탄산음료/환타·웰치스/포장형태: 캔/박스/
[영양정보] 1회 제공량 185ml당 열량: 85kcal"
해태htb 갈배사이다 제로 355ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal"
해태htb 갈배사이다 제로 500ml,"탄산음료/사이다/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 500ml당 열량: 0kcal"
해태htb 갈배사이다 제로 210ml,"탄산음료/사이다/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 0kcal"
이그니스 클룹 제로소다 청사과 500ml,"탄산음료/환타·웰치스/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 500ml당 열량: 0kcal"
롯데칠성음료 펩시콜라 제로슈거 망고향 355ml,"탄산음료/콜라/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 355ml당 열량: 0kcal"
동원F&B 덴마크 테이크 얼라이브 제로톡 스위티자몽 400ml,"탄산음료/환타·웰치스/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 400ml당 열량: 12kcal"
하이트진로 진로 토닉워터 제로 300ml,탄산음료/그외 음료/포장형태: 페트/300ml/제로칼로리
페이머스소다 콜라 330ml,"탄산음료/콜라/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 8kcal"
배스킨라빈스 레인보우 샤베트 스파클링 제로 350ml,탄산음료/환타·웰치스/포장형태: 캔/제로칼로리
배스킨라빈스 애플민트 스파클링 제로 350ml,탄산음료/환타·웰치스/포장형태: 캔/제로칼로리
일화 부르르 제로사이다 존윅에디션 250ml,"탄산음료/사이다/포장형태: 병/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 0kcal"
일화 맥콜 제로 존윅에디션 250ml,"탄산음료/그외 음료/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 5kcal"
코카콜라음료 씨그램 스위트 유자향 350ml,"탄산음료/환타·웰치스/포장형태: 페트/제로칼로리/박스/원재료: 정제수, 이산화탄소, 합성향료(유자향)"
코카콜라음료 씨그램 스위트 피치블랙티향 350ml,"탄산음료/환타·웰치스/포장형태: 페트/제로칼로리/박스/원재료: 정제수, 이산화탄소, 합성향료(피치블랙티향)"
코카콜라음료 코카콜라 제로 레몬 1.5L,"탄산음료/콜라/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal"
현대약품 미에로화이바 스파클링 제로 350ml,"탄산음료/그외 음료/포장형태: 페트/제로칼로리/
[영양정보] 1회 제공량 350ml당 열량: 40kcal"
이그니스 클룹 레몬 스파클링 워터 500ml,"탄산음료/환타·웰치스/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 500ml당 열량: 0kcal"
