Name,Spec
솜인터내셔널 딜라잇가든 냉동 스위트번 190g,"빵/식빵/190g/알레르기성분: 대두, 밀, 우유/원산지: 밀(미국,캐나다)/표시기준분량: 190g/열량: 584kcal/탄수화물: 88g/당류: 20g/단백질: 10g/지방: 21g/포화지방: 10g/트랜스지방: 1.1g/콜레스테롤: 20mg/나트륨: 841mg"
에버웰푸드 곡물 도우 45개입 380g,빵/380g/특징: 생지/냉동보관
썬리취 리얼치즈볼 1kg,1kg/저염/냉동보관/표시기준분량: 70g/열량: 225kcal/탄수화물: 27g/당류: 5g/단백질: 8g/지방: 10g/포화지방: 2.5g/트랜스지방: 0.5g 미만/콜레스테롤: 30mg/나트륨: 24mg
에버웰푸드 곡물 도우 60개입 250g,빵/250g/특징: 생지/냉동보관
굿메이트식품 흑미도우 40입 380g,"빵/380g/특징: 생지/냉동보관/원산지: 밀(미국,캐나다)"
굿메이트식품 흑미도우 45입 330g,"빵/330g/특징: 생지/냉동보관/원산지: 밀(미국,캐나다)"
오호떡집 쑥인절미 45g 9개입,떡
강원농산 강원농산 밀떡볶이 대 4kg,"떡/떡볶이떡/4kg/원산지: 밀가루(미국,호주산)"
강원농산 강원농산 밀떡볶이 소 4kg,"떡/떡볶이떡/4kg/원산지: 밀가루(미국,호주산)"
강원농산 강원농산 밀떡볶이 중 4kg,"떡/떡볶이떡/4kg/원산지: 밀가루(미국,호주산)"
로뎀푸드 서울마님 콩고물 인절미 100g,인절미/100g/인증정보: HACCP/무지방/저당/냉동보관/표시기준분량: 100g/열량: 236kcal/탄수화물: 52g/당류: 2g/단백질: 7g/지방: 0.4g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 300mg
로뎀푸드 서울마님 콩고물 쑥인절미 100g,인절미/100g/인증정보: HACCP/냉동보관/표시기준분량: 100g/열량: 260kcal/탄수화물: 47g/당류: 15g/단백질: 10g/지방: 4.1g/포화지방: 0.6g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 230mg
대상 베스트코 쌀 떡국떡 2kg,떡/떡국떡/2kg/냉장보관/원산지: 쌀(외국산)
미농식품 밀 떡볶이 떡 1kg,"떡/떡볶이떡/1kg/알레르기성분: 밀/저지방/저당/냉장보관/원산지: 밀가루(미국,호주산)/표시기준분량: 100g/열량: 220kcal/탄수화물: 47g/당류: 1g/단백질: 6g/지방: 1g/포화지방: 1g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 360mg"
아이케이푸드 핫이슈 한입직각 밀떡 2kg,"떡/떡볶이떡/2kg/인증정보: HACCP/알레르기성분: 대두, 밀/원산지: 밀가루(미국,호주산)"
대상 베스트코 한입 떡볶이떡 1kg,떡/떡볶이떡/1kg/알레르기성분: 밀/냉장보관/원산지: 쌀(외국산)
미농식품 밀 떡볶이 떡 2kg,"떡/떡볶이떡/1kg/알레르기성분: 밀/저지방/저당/냉장보관/원산지: 밀가루(미국,호주산)/표시기준분량: 100g/열량: 220kcal/탄수화물: 47g/당류: 1%/단백질: 6g/지방: 1g/포화지방: 7%/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 360mg"
아리울떡공방 자연해동으로 간편한 굳지않는 아리울떡 1kg 모음전,떡
코만스 홍대맛집 오리지널 티라미수 그란데 290g,케이크
두루웰 오븐에 구운 생크림 도넛 40g,도넛/40g/실온보관/원산지: 밀가루(수입산)/표시기준분량: 40g/열량: 164kcal/탄수화물: 21g/당류: 13g/단백질: 2g/지방: 8g/포화지방: 3.1g/트랜스지방: 0.1g/콜레스테롤: 41mg/나트륨: 105mg
SPC삼립 거대해진 고오스 초코케익 500g,빵
SPC삼립 364시간 주종발효 통팥도라야끼 2입 5봉 총10입,"호빵,호떡"
아침에떡 생산 전통술떡 판 기정떡 1.4kg,떡
오리온 마켓오 브라우니 제주말차 240g 마켓오 브라우니 제주말차,빵
아리울떡공방 굳지않는 모듬 깨송편 1.2kg,"송편/1.2kg/인증정보: HACCP/알레르기성분: 대두, 밀/냉동보관/원산지: 국내산(쌀)"
아리울떡공방 굳지않는 모듬 꿀떡 1.2kg,"떡/1.2kg/인증정보: HACCP/알레르기성분: 대두, 밀/냉동보관/원산지: 국내산(쌀)"
SPC삼립 주종발효 왕만쥬 60g 100입 50입2상자,빵
대두식품 화과방 크림 가득 맛있는 아이스 찰떡 / 개별포장 8개입 딸기/복숭아/초코/크림치즈/우유/생크림,떡
SPC삼립 샤니 뉴욕 샌드위치 식빵 990g,"빵/식빵/990g/알레르기성분: 대두, 밀, 우유/냉동보관/표시기준분량: 100g/열량: 247kcal/탄수화물: 48g/당류: 5g/단백질: 11%/지방: 3.4g/포화지방: 1.2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 510mg"
우체국쇼핑 화순 정성 심은 옥수수기정떡 15개입,"식빵,베이글"
우체국쇼핑 화순 정성 심은 옥수수기정떡 30개입,"식빵,베이글"
거문도해풍쑥영농조합법인 거문도 해풍 쑥개떡 65개 + 쑥송편 26개,떡
