Name,Spec
남양유업 맛있는우유 GT 슈퍼밀크 900ml,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 55kcal/탄수화물: 5.5g/당류: 5.5g/단백질: 3.8g/지방: 2g/포화지방: 1.4g/트랜스지방: 0g/콜레스트롤 9mg/나트륨: 50mg/칼슘 120mg"
남양유업 맛있는우유 GT 아인슈타인 190ml (멸균),"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 125kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 7g/포화지방: 4.8g/트랜스지방: 0.5g미만/콜레스테롤: 25mg/나트륨: 100mg/칼슘: 180mg/칼슘: 190mg"
남양유업 맛있는우유 GT 초코 180ml (멸균),"초코우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 180ml당 열량: 125kcal/탄수화물: 19g/당류: 19g/단백질: 4g/지방: 3.9g/포화지방: 2.5g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 75mg"
남양유업 맛있는우유 GT 초코 300ml,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 300ml당 열량: 300kcal"
남양유업 맛있는우유GT 딸기 180ml,"딸기우유/포장형태: 팩/
[영양정보] 1회 제공량 180ml당 열량: 125kcal/탄수화물: 18g/당류: 18g/단백질: 4g/지방: 4g/포화지방: 2.8g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 75mg"
남양유업 맛있는우유GT 초코 180ml,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 180ml당 열량: 180kcal/탄수화물: 28g/당류: 18g/단백질: 4.8g/지방: 5.4g/포화지방: 4.8g/트랜스지방: 0g/콜레스테롤: 6mg/나트륨: 80mg"
남양유업 아인슈타인 900ml,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 3.5g/포화지방: 2.2g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 50mg/칼슘: 100mg"
남양유업 아인슈타인 천연DHA 우유 플러스 120ml (멸균),"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 120ml당 열량: 85kcal/탄수화물: 6g/당류: 6g/단백질: 3.8g/지방: 4.9g/포화지방: 3.4g/트랜스지방: 0.5g 미만/콜레스테롤: 18mg/나트륨: 65mg/칼슘: 140mg"
남양유업 초코에몽 175ml,"초코우유/포장형태: 캔/
[영양정보] 1회 제공량 175ml당 열량: 120kcal/탄수화물: 24g/당류: 23g/단백질: 2g/지방: 2g/포화지방: 1.3g/트랜스지방: 0g/콜레스테롤: 7mg/나트륨: 70mg"
남양유업 초코에몽 180ml (멸균),"초코우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 180ml당 열량: 90kcal/탄수화물: 12g/당류: 11g/단백질: 0g/지방: 4.3g/포화지방: 4.8g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
남양유업 초코에몽 250ml,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 250ml당 열량: 235kcal/탄수화물: 34g/당류: 32g/단백질: 7g/지방: 8g/포화지방: 5g/트랜스지방: 0.5g미만/콜레스테롤: 25mg/나트륨: 105mg"
남양유업 초코에몽 프로틴 190ml,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 177kcal"
