Name,Spec
광동제약 비타500 라임 170ml,"비타민음료/포장형태: 페트/
[영양정보] 1회 제공량 170ml당 열량: 30kcal"
광동제약 비타500 레드 크레이지 엘리멘탈 100ml,"비타민음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 18kcal"
광동제약 비타500 로열폴리스 120ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 120ml당 열량: 55kcal/탄수화물: 14g/당류: 13g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg"
광동제약 비타500 부탁해B군 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 45kcal"
광동제약 비타500 스파클링 250ml,"비타민음료/포장형태: 캔/박스/
[영양정보] 1회 제공량 250ml당 열량: 110kcal/탄수화물: 28g/당류: 26g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg/비타민B2: 3mg/비타민C: 1,250mg"
광동제약 비타500 스파클링 250ml x 24캔 음료 탄산,비타민음료
광동제약 비타500 아연 180ml,"비타민음료/포장형태: 병/박스/
[영양정보] 총 내용량 180ml당 열량: 70kcal"
광동제약 비타500 자몽 170ml,"비타민음료/포장형태: 페트/
[영양정보] 1회 제공량 170ml당 열량: 30kcal"
광동제약 비타500 제로 100ml,"비타민음료/포장형태: 병/제로칼로리/박스/
[영양정보] 1회 제공량 100ml당 열량: 0kcal"
광동제약 비타500 제로 스파클링 150ml,비타민음료/포장형태: 병/150ml/제로칼로리
광동제약 비타500 제로 스파클링 250ml,"비타민음료/포장형태: 캔/제로칼로리/박스/
[영양정보] 1회 제공량 250ml당 열량: 0kcal"
광동제약 비타500 치어팩 250ml,"비타민음료/포장형태: 파우치/
[영양정보] 1회 제공량 250ml당 열량: 85kcal/탄수화물: 21g/당류: 15g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 50mg"
광동제약 비타500 칼슘 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 50kcal/탄수화물: 12g/당류: 11g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg"
광동제약 비타500 칼슘 100ml 20병+Fresh 100ml 20병,비타민음료
광동제약 비타500 콜라겐 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 45kcal/저분자 콜라겐펩타이드: 500mg/비타민C: 500mg"
광동제약 비타500 콜라겐 100ml[10개],비타민음료/포장형태: 병/100ml
광동제약 비타500 콜라겐 100ml[20개],비타민음료/포장형태: 병/100ml
광동제약 비타500 콜라겐 100ml[40개],비타민음료/포장형태: 병/100ml
광동제약 비타500 콜라겐 잔망루피 100ml,비타민음료/포장형태: 병/박스
광동제약 비타500 프레쉬 100ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 35kcal/탄수화물: 9g/당류: 8g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg"
광동제약 비타500F 240ml,"비타민음료/포장형태: 캔/박스/
[영양정보] 1회 제공량 240ml당 열량: 80kcal/탄수화물: 20g/당류: 16g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 75mg/칼슘: 13mg/비타민: 1200mg"
광동제약 비타500칼슘 180mL 20병,비타민음료
광동제약 비타민D 1000IU 100ml,비타민음료/포장형태: 병/100ml
광동제약 생강쌍화 120ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 120ml당 열량: 70kcal/탄수화물: 17g/당류: 17g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 40mg"
광동제약 생록천 75ml,소화제/포장형태: 병
광동제약 솔표 위청수 골드액 75ml,소화제/포장형태: 병
광동제약 쌍화골드 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량:50kcal/탄수화물:12g/당류:10g/단백질:1g미만/지방:0g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:40mg"
광동제약 쌍화골드 100ml 10입 x 2박스,강장음료
광동제약 쌍화골드 100ml 10입 x 3박스,강장음료
광동제약 쌍화골드 100ml 10입 x 4박스,강장음료
광동제약 쌍화골드 100ml 10입 x 5박스,강장음료
광동제약 쌍화골드 100ml 30병 쌍화탕,강장음료/강장/에너지드링크
광동제약 쌍화골드 100ml x 40병 쌍화탕 병드링크,강장음료/강장/에너지드링크
광동제약 온더게임 250ml,에너지드링크/포장형태: 캔
광동제약 위생천 75ml,"소화제/포장형태: 병/
[영양정보] 1회 제공량 75ml당 열량:45kcal/탄수화물:10g/당류:9g/단백질:1g미만/지방:0g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:10mg"
광동제약 유자쌍화 150ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 150ml당 열량: 80kcal/탄수화물: 20g/당류: 17g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 45mg"
광동제약 진 쌍화 100ml,"강장음료/포장형태: 병/
[영양정보]"
광동제약 진생강 쌍화 100ml,"강장음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 55kcal"
광동제약 진쌍화 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 50kcal/탄수화물: 11g/당류: 10g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 55mg"
광동제약 타우린 2000 120ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 120ml당 열량: 70kcal/탄수화물: 18g/당류: 17g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 0mg/나트륨: 30mg"
광동제약 헛개파워 100ml,"숙취해소음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 70kcal/탄수화물: 18g/당류: 18g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 105mg"
광동제약 홍삼 쌍화진 100mlX10포 X 2박스 +쇼핑백 증정,강장음료/강장/에너지드링크
광동제약 홍삼꿀D 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 60kcal/탄수화물: 15g/당류: 15g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg"
광동제약 홍삼꿀D 170ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 170ml당 열량: 102kcal/탄수화물: 25g/당류: 25g/단백질: 1g미만/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
광동제약 힘찬하루 헛개차 340ml 6개,숙취해소음료/차음료
그래미 여명1004 140ml,숙취해소음료/포장형태: 캔
그래미 여명808 119ml,숙취해소음료/포장형태: 캔
그래미 여명808 140ml,숙취해소음료/포장형태: 캔
나랑드 사이다 제로 180ml,탄산음료/탄산음료/포장형태: 캔/제로칼로리
나랑드 사이다 제로 그린애플 245ml,탄산음료/탄산음료/포장형태: 캔/제로칼로리
내츄럴플러스 아미노 포도당 에너지업 100ml,"에너지드링크/포장형태: 파우치/
[영양정보] 1회 제공량 100ml당 열량: 108kcal"
네오팜 뉴골드 상쾌한 변화 145ml,이온음료/포장형태: 페트/145ml
네오팜 푸룬 아싸이베리 100ml,"섬유음료/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 175kcal/탄수화물: 44g/당류: 35g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg"
네이처드림 링업 10T,"이온음료/포장형태: 스틱/총량: 10T/스틱형/
[영양정보] 1회 제공량 11g당 열량: 40kcal/탄수화물: 10g/당류: 7g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 240mg"
농심 데이플러스 콜라겐 500ml,이온음료/포장형태: 페트/500ml/제로칼로리
농심 웰치 그레이프 1.5L,"탄산음료/탄산음료/포장형태: 페트/
[영양정보]"
농심 웰치 그레이프 250ml,탄산음료/탄산음료/포장형태: 캔
농심 웰치 그레이프 300ml,"비타민음료/탄산음료/포장형태: 페트/300ml/
[영양정보]"
농심 웰치 스트로베리 355ml,"탄산음료/탄산음료/포장형태: 캔/
[영양정보]"
농심 웰치 제로 그레이프 1.5L,탄산음료/탄산음료/포장형태: 페트/제로칼로리
농심 웰치 제로 그레이프 355ml,탄산음료/탄산음료/포장형태: 캔/제로칼로리
농심 웰치 제로 그레이프 355ml x 6개 + 오렌지 355ml x 6개,탄산음료/탄산음료/포장형태: 캔/제로칼로리
농심 웰치 제로 그레이프 500ml,탄산음료/탄산음료/포장형태: 페트/제로칼로리
농심 웰치 제로 샤인머스캣 355ml,탄산음료/탄산음료/포장형태: 캔/제로칼로리
농심 웰치 제로 샤인머스캣 355ml 24개 + 그레이프 355ml 24개,"탄산음료,환타·웰치스/탄산음료/포장형태: 캔/355ml/제로칼로리"
농심 웰치 제로 샤인머스캣 355ml 24개 + 오렌지 355ml 24개,"탄산음료,환타·웰치스/탄산음료/포장형태: 캔/355ml/제로칼로리"
농심 웰치 화이트 그레이프 1.5L,탄산음료/탄산음료/포장형태: 페트
농심 웰치 화이트 그레이프 355ml,"비타민음료/탄산음료/포장형태: 캔류/355ml/
[영양정보]"
농심 파워오투 복숭아자몽 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 89.3kcal/나트륨: 13mg/탄수화물: 10.5g/당류: 10.5g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/단백질: 0g"
농심 파워오투 아이스베리 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 250ml당 열량: 42.5kcal/탄수화물: 10.5g/당류: 10.5g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 13mg"
농심 파워오투 애플키위맛 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 250ml당 열량: 39.8kcal/탄수화물: 9.5g/당류: 9.5g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 3mg"
농심 파워오투 오렌지레몬맛 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 250ml당 열량: 46kcal/탄수화물: 10.5g/당류: 10.5g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 3mg"
농심 파워오투 패션후르트라임 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 90kcal/탄수화물: 22g/당류: 22g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 6mg"
대웅생명과학 우루 에이스 100ml,"숙취해소음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 55kcal/탄수화물: 14g/당류: 14g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg"
대웅생명과학 우루 에이스 100ml+폴라센타 20ml,숙취해소음료/포장형태: 병
대웅생명과학 헛개 후레쉬 100ml,숙취해소음료/포장형태: 병/100ml
더바인 더바인 아르케어 120ml,"강장음료/포장형태: 병/
[영양정보] 1회 제공량 120ml당 열량: 55kcal"
동서식품 레드불 250ml,"에너지드링크/포장형태: 캔/
[영양정보] 1회 제공량 250ml당 열량:112kcal/탄수화물:28g/당류:27g/단백질:0g/지방:0g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:200mg"
동서식품 레드불 355ml,"에너지드링크/포장형태: 캔/
[영양정보] 1회 제공량 355ml당 열량: 160kcal/탄수화물: 38g/당류: 38g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 150mg"
동서식품 레드불 슈가프리 250ml,"에너지드링크/포장형태: 캔/제로칼로리/
[영양정보] 1회 제공량 250ml당 열량: 5kcal/탄수화물: 0g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg"
동아오츠카 오로나민C 120ml,"비타민음료/포장형태: 병/박스/
[영양정보] 1회 제공량 120ml당 열량: 70kcal/탄수화물: 17g/당류: 17g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg"
동아오츠카 컨피던스 230ml,"비타민음료/포장형태: 병/
[영양정보] 1회 제공량 230ml당 열량: 90kcal/탄수화물: 22g/당류: 22g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 75mg"
동아오츠카 컨피던스 250ml,"비타민음료/포장형태: 캔/박스/
[영양정보] 1회 제공량 250ml당 열량:90kcal/탄수화물:22g/당류:22g/단백질:0g/지방:0g/포화지방:0g/트랜스지방:0g/콜레스테롤:0mg/나트륨:75mg"
동아오츠카 포카리스웨트 1.5L,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 200ml당 열량: 50kcal/탄수화물: 12g/당류: 12g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 100mg"
동아오츠카 포카리스웨트 1.8L,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 200ml당 열량: 50kcal/탄수화물: 12g/당류: 12g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 100mg"
동아오츠카 포카리스웨트 240ml,이온음료
동아오츠카 포카리스웨트 340ml,"이온음료/포장형태: 캔/
[영양정보] 1회 제공량 340ml당 열량: 40kcal/탄수화물: 9g/당류: 9g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 75mg"
동아오츠카 포카리스웨트 340ml (페트),"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 340ml당 열량: 85kcal/탄수화물: 21g/당류: 21g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 170mg"
동아오츠카 포카리스웨트 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 125kcal"
동아오츠카 포카리스웨트 900ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 200ml당 열량: 50kcal/탄수화물: 12g/당류: 12g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 100mg"
동아오츠카 포카리스웨트 분말 65.6g,"이온음료/포장형태: 파우치/
[영양정보] 1회 제공량 65.6g당 열량: 253kcal/탄수화물: 61g/당류: 59g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 510mg"
동아오츠카 포카리스웨트 이온워터 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 55kcal/탄수화물: 13g/당류: 12g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 0mg/나트륨: 270mg"
동아오츠카 화이브미니 100ml,"섬유음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 55kcal/탄수화물: 15g/당류: 10g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 10mg"
동아제약 깨질듯한 숙취 모닝케어H 100ml,"숙취해소음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 45kcal/탄수화물: 10g/당류: 6g/단백질: 1g미만/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg"
동아제약 더부룩한 숙취 모닝케어D 100ml,"숙취해소음료/
[영양정보] 1회 제공량 100ml당 열량: 45kcal/탄수화물: 10g/당류: 6g/단백질: 1g미만/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 30mg"
동아제약 모닝케어 100ml,숙취해소음료/포장형태: 병/100ml
동아제약 박카스 디카페 120ml,강장음료/포장형태: 병/박스
동아제약 박카스 디카페인 120ml,자양강장/포장형태: 병
동아제약 박카스D 100ml,강장음료/포장형태: 병/박스
동아제약 박카스F 120ml,강장음료/포장형태: 병
동아제약 푸석푸석한 숙취 모닝케어S 100ml,"숙취해소음료/포장형태: 병/
[영양정보] 1회 제공량 100ml당 열량: 40kcal/탄수화물: 8g/당류: 6g/단백질: 1g/지방: 0.2g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg"
동원F&B D-Toc 레몬 500ml 1개,탄산음료/탄산음료/포장형태: 페트
동원F&B 투명이온 500ml,이온음료/포장형태: 페트
동원F&B 투명이온 제로 500ml,"이온음료/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 500ml당 열량: 0kcal/탄수화물: 1g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 280mg"
동화약품 가을 생강 쌍화 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 56kcal/탄수화물: 13.4g/당류: 12.6g/단백질: 0.6g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 19.67mg"
동화약품 동화 비타천 플러스 100ml,비타민음료/포장형태: 병/박스
동화약품 동화 생생톤 UP 210ml,"강장음료/포장형태: 병/
[영양정보] 1회 제공량 210ml당 열량: 93kcal/탄수화물: 23g/당류: 21g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 70mg"
동화약품 동화 홍삼 골드 100ml,"강장음료/포장형태: 병/박스/
[영양정보] 1회 제공량 100ml당 열량: 50kcal/탄수화물: 12g/당류: 7g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg"
동화약품 벡셀 에너지 드링크 지파크 250ml,"에너지드링크/포장형태: 캔/
[영양정보] 1회 제공량 250ml당 열량: 117kcal/나트륨: 85mg/탄수화물: 29g/당류: 29g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/단백질: 0g"
동화약품 부채표 까스활 75ml,소화제/포장형태: 병
동화약품 부채표 속편한 미인활 75ml,소화제/포장형태: 병
동화약품 부채표 쌍화원 100ml,강장음료/포장형태: 병/박스/1회 제공량 100ml당 열량: 50kcal/탄수화물: 12g/당류: 7g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg
동화약품 생생톤 부채표 건강비타민음료 120ml 20병,비타민음료/숙취해소음료
동화약품 쌍화원 100ml,강장음료/포장형태: 병/100ml
동화약품 알프스 D 2000액 100ml,강장음료/포장형태: 병
락스타 에너지 드링크 엑스듀런스 블루베리 석류 아사이 500ml,에너지드링크/포장형태: 캔
락스타 에너지 드링크 오리지널 노 슈거 500ml,에너지드링크/포장형태: 캔/제로칼로리
레드불 블루베리 블루 250ml (해외),에너지드링크/포장형태: 캔
레드불 제로 250ml (해외),에너지드링크/포장형태: 캔/제로칼로리
레드불 제로 355ml (해외),에너지드링크/포장형태: 캔/제로칼로리/박스
레드불 트로피칼 옐로우 250ml (해외),에너지드링크/포장형태: 캔
롯데칠성음료 2% 부족할때 복숭아 1.5L,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 200ml당 열량: 55kcal/탄수화물: 13g/당류: 13g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg"
롯데칠성음료 2% 부족할때 복숭아 240ml,"이온음료/포장형태: 캔/
[영양정보] 1회 제공량 240ml당 열량: 65kcal/탄수화물: 16g/당류: 15g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg"
롯데칠성음료 2% 부족할때 복숭아 350ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 350ml당 열량: 75kcal/탄수화물: 19g/당류: 19g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg"
롯데칠성음료 2% 부족할때 복숭아 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 500ml당 열량: 130kcal/탄수화물: 33g/당류: 33g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 0mg/나트륨: 15mg"
롯데칠성음료 2% 부족할때 아쿠아 500ml,"이온음료/포장형태: 페트/
[영양정보] 1회 제공량 200ml당 열량: 65kcal/탄수화물: 16g/당류: 16g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 120mg"
롯데칠성음료 2% 부족할때 아쿠아 제로 500ml,"이온음료/포장형태: 페트/제로칼로리/박스/
[영양정보] 1회 제공량 500ml당 열량: 10kcal"
롯데칠성음료 2프로복숭아 240mL 30캔,이온음료
롯데칠성음료 게토레이 과일 펀치 591ml (해외),이온음료/포장형태: 페트
롯데칠성음료 게토레이 과일 펀치 946ml (해외),이온음료/포장형태: 페트
