Name,Spec
남양유업 이오 브레드 이발소 유산균 음료 미니 125ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 125ml당 열량: 28kcal/탄수화물: 7g/당류: 7g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 20mg/칼슘: 70mg/비타민C: 10mg"
남양유업 이오 브레드이발소 유산균 음료 미니 190ml,"마시는 요구르트/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 56kcal/탄수화물: 14g/당류: 14g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 35mg/칼슘: 105mg"
남양유업 이오 요구르트 80ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 80ml당 열량: 40kcal/탄수화물: 9g/당류: 8g/단백질: 1g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg"
남양유업 자연의 시작 불가리스 복숭아 150ml,"마시는 요구르트/포장형태: 페트/특징: 저지방/
[영양정보] 1회 제공량 150ml당 열량: 130kcal/탄수화물: 20g/당류: 14g/단백질: 5g/지방: 4g/포화지방: 2.6g/트랜스지방: 0g/콜레스테롤: 16mg/나트륨: 90mg/칼슘: 150mg"
남양유업 자연의 시작 불가리스 사과 150ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 150ml당 열량: 135kcal/탄수화물: 21g/당류: 14g/단백질: 5g/지방: 4g/포화지방: 2.6g/트랜스지방: 0g/콜레스테롤: 16mg/나트륨: 90mg/칼슘: 150mg"
남양유업 자연의 시작 불가리스 포도 150ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 150ml당 열량: 135kcal/탄수화물: 21g/당류: 14g/단백질: 5g/지방: 4g/포화지방: 2.6g/트랜스지방: 0g/콜레스테롤: 16mg/나트륨: 90mg/칼슘: 150mg"
남양유업 자연의 시작 불가리스 플레인 150ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 150ml당 열량: 145kcal/탄수화물: 20g/당류: 12g/단백질: 5g/지방: 5g/포화지방: 3.2g/트랜스지방: 0g/콜레스테롤: 16mg/나트륨: 90mg/칼슘: 150mg"
남양유업 포스트바이오틱스 이너케어 간 프로텍트 130ml,"마시는 요구르트/포장형태: 페트/건강기능식품/GMP/프로바이오틱스: 100억 DFU/
[영양정보] 1회 제공량 130ml당 열량: 100kcal"
남양유업 포스트바이오틱스 이너케어 장 프로텍트 130ml,"마시는 요구르트/포장형태: 페트/건강기능식품/GMP/프로바이오틱스: 100억 DFU / 락추로스: 800mg/
[영양정보] 1회 제공량 130ml당 열량: 95kcal"
남양유업 한번에 1000억 프로바이오틱 사과 130ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 130ml당 열량: 85kcal/탄수화물: 15g/당류: 12g/단백질: 2.3g/지방: 1.7g/포화지방: 1.2g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 40mg"
내모메존 웰빙 수제 야콘 요거트 1L,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 83.10kcal"
네오팜 뉴 골드 상쾌한변화 145ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 145ml당 열량: 190kcal/나트륨: 20mg/탄수화물: 45g/당류: 4g/지방: 0g/트랜스지방: 0g/포화지방: 0g/콜레스테롤: 0mg/단백질: 0g"
대광목장 유기농 요구르트 500ml,"마시는 요구르트/포장형태: 페트/특징: 유기농/
[영양정보] 1회 제공량 500ml당 열량: 375kcal/탄수화물: 8g/당류: 5.5g/단백질: 3g/지방: 3g/포화지방: 2.3g/트랜스지방: 0g/콜레스테롤: 14mg/나트륨: 45mg"
동원F&B 덴마크 그릭 오리지널 100g,떠먹는 요구르트/100g
동원F&B 덴마크 드링킹 요구르트 딸기 275ml,마시는 요구르트/포장형태: 팩
동원F&B 덴마크 드링킹 요구르트 베리믹스 275ml,마시는 요구르트/포장형태: 팩
동원F&B 덴마크 드링킹 요구르트 복숭아 275ml,마시는 요구르트/포장형태: 팩
동원F&B 덴마크 드링킹 요구르트 사과 275ml,마시는 요구르트/포장형태: 팩
동원F&B 덴마크 드링킹 요구르트 샤인머스캣 275ml,"마시는 요구르트/포장형태: 팩/
[영양정보] 1회 제공량 275ml당 열량: 215kcal"
동원F&B 덴마크 드링킹 요구르트 샤인머스캣 8입 275ml,마시는 요구르트/포장형태: 팩
동원F&B 덴마크 드링킹 요구르트 포스트 바이오틱스 딸기 750ml,마시는 요구르트/포장형태: 페트
동원F&B 덴마크 드링킹 요구르트 포스트 바이오틱스 베리믹스 750ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 80kcal"
동원F&B 덴마크 드링킹 요구르트 포스트 바이오틱스 복숭아 750ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 80kcal"
동원F&B 덴마크 드링킹 요구르트 포스트 바이오틱스 샤인머스캣 750ml,"마시는 요구르트/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 80kcal"
동원F&B 덴마크 드링킹 요구르트 포스트 바이오틱스 플레인 750ml,마시는 요구르트/포장형태: 페트
동원F&B 덴마크 드링킹 요구르트 플레인 275ml,마시는 요구르트/포장형태: 팩
동원F&B 덴마크 드링킹 요구르트 플레인 750ml,마시는 요구르트/포장형태: 페트
동원F&B 덴마크 드링킹요구르트 딸기 750mLx3병 대용량 750ml 3개,마시는 요구르트/포장형태: 페트
동원F&B 덴마크 드링킹요구르트 딸기 750mLx4병 대용량 4개,마시는 요구르트/포장형태: 페트
동원F&B 덴마크 드링킹요구르트 베리믹스 750mlx4병/대용량/냉장,마시는 요구르트/포장형태: 페트
동원F&B 덴마크 드링킹요구르트 복숭아 275mLx10팩/냉장,마시는 요구르트/포장형태: 팩
동원F&B 덴마크 드링킹요구르트 복숭아 275mLx6팩/냉장 6개 275ml,마시는 요구르트/포장형태: 팩
