Name,Spec,Name
라벨리 아이스크림/ /아이스캔디/7종골고루,아이스크림
라벨리 아이스크림/더블팅한박스/,아이스크림
라벨리 아이스크림/업소용프리미엄10리터/바닐라,아이스크림
라벨리 업소용 딜리셔스 9리터 바닐라 아이스크림,아이스크림
라벨리 옥수수 익어가는 아이스크림,아이스크림/바(막대)
라벨리 요거트 블루베리 아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)"
라벨리 초코에몽 생초코바,아이스크림/바(막대)/80ml/표시기준분량: 80ml/열량: 277kcal/탄수화물: 20g/당류: 18g/단백질: 3g/지방: 15g/포화지방: 11g/트랜스지방: 0.5g미만/콜레스테롤: 15mg/나트륨: 4%
라벨리 초코에몽 초코모나카,아이스크림/샌드/140ml/표시기준분량: 140ml/열량: 189kcal/탄수화물: 25g/당류: 16g/단백질: 3g/지방: 8.6g/포화지방: 39%/트랜스지방: 0.5g미만/콜레스테롤: 15mg/나트륨: 128mg
라벨리 초코에몽 초코쭈쭈바,"아이스크림/튜브,파우치/130ml/저지방/표시기준분량: 130ml/열량: 181kcal/탄수화물: 38g/당류: 29%/단백질: 4%/지방: 2.g/포화지방: 1.7g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 70mg"
라벨리 초코플레이크 아이스크림,"아이스크림/컵,파우치"
라벨리 캔디바,아이스크림/65ml
라벨리 쿠키앤크림,아이스크림/10L/표시기준분량: 100ml/열량: 126kcal/탄수화물: 13g/당류: 12g/단백질: 2g/지방: 7g/포화지방: 33%/트랜스지방: 0g/콜레스테롤: 13mg/나트륨: 57mg
라벨리 쿠키앤크림 아이스크림,"아이스크림/컵,파우치"
라벨리 팥빙수,"아이스크림/컵,파우치"
라벨리 팥빙수 냉동,과자/초콜릿/디저트/아이스크림/빙수
라벨리 팥빙수/아이스크림/,아이스크림
라벨리 팥빙수포장한박스를무료택배까지,아이스크림
라벨리 프리미엄 10리터 요거트블루베리 1통,아이스크림
라벨리 프리미엄 10리터[],아이스크림
라벨리 프리미엄 4리터 3통,아이스크림
라벨리 프리미엄 4리터 녹차 2통,
라벨리 프리미엄 4리터 스트로베리,아이스크림
라벨리 프리미엄 4리터 업소용 아이스크림,아이스크림
라벨리 프리미엄 4리터 요거트블루베리 2통,아이스크림
라벨리 프리미엄 4리터 초코플레이크 2통,
로뎀푸드 SD250 흑임자인절미3봉 콩고물,
로뎀푸드 빙수재료 모음 SD004 누드빙수떡,빙수
로뎀푸드 서울마님 알찬 빙수팥,빙수/팥
로뎀푸드 알찬 빙수팥/국산/팥빙수/알찬팥,빙수
로이스 로이스 콜렉션 블루,
롯데 E 샌드 _162_쿠키오샌드X3,아이스크림/샌드
롯데 거꾸로 수박바막대 바 아이스크림,아이스크림
롯데 구구아몬드스타,아이스크림/바(막대)
롯데 국화빵 찰떡+ 빵빠레 샌드+ 와플 모나카,샌드
롯데 롯데제과 위즐 커피앤초코퍼지,아이스크림
롯데 미니멜츠구슬바나나스플릿,구슬
롯데 빠삐코 초코X,아이스크림
롯데 빵빠레 소프트바 바닐라,아이스크림
롯데 빵빠레 소프트바 초코,아이스크림
롯데 셀렉션 초코+딸기입,아이스크림
롯데 아맛나 앙상블입 막대아이스크림 할인 브랜드 대용량 소프트 업소용 골라담기 도매 추천,아이스크림
롯데 아이스크림 1종한박스 죠스바 수박바 스크류바 옥동자 와일드바디 메가톤바 순수밀크 빙빙바 딸기 죠크박 델몬트 망고바..,
롯데 아이스크림 빠삐코 쮸쮸바대용량,아이스크림
롯데 아이스크림 샌드류혼합구성 국화빵 찰떡 와플 모니카 빵빠레 샌드 초코퍼지 크런치 샌드,샌드
롯데 아이스크림 주물러 콜라아이스크림 하드 간식,아이스크림
롯데 아이스크림 콘 메로나 비비빅 누가바 호두마루 수박바 죠스바 바밤바 아맛나 돼지바,콘
롯데 옥동자 70막대 바 아이스크림 초등 중등 간식 별미 학원 유치원 야유회 사무실,아이스크림
롯데 옥동자 딸기 바 아이스크림입,
롯데 와일드바디 타이거입 막대아이스크림 할인 브랜드 대용량 소프트 업소용 골라담기 도매 추천,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
롯데 우리가족 나뚜루 피페리타민트초코 컵아이스크림 하드,아이스크림
롯데 월드콘 아이스크림 바닐라 쿠키앤크림씩 총초등 중등 간식 학원 유치원 사무실,콘
"롯데 웰푸드 콘,샌드류 아이스크림 10종골라담기 월드콘 구구콘 국화빵 잇츠와플 빵빠레",콘/샌드
롯데 잇츠와플초코쿠키x옥동자,아이스크림
롯데 제과 수박바 아이스크림,아이스크림
롯데 제로 밀크 모나카 아이스크림,샌드
롯데 제로 아이스 미니바이트입 +밀크 모나카 X,샌드
롯데 조안나 리치바닐라 X+ 롯샌 쿠앤크깜뜨 X,아이스크림
롯데 조안나 바닐라 퍼먹는 대용량 아이스크림업소용,아이스크림
롯데 조안나바입 홈아이스크림/퍼먹는아이스크림/조안나바/개별아이스크림/딸기맛/바닐라맛/골라,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
롯데 쫀득쫀득 찰떡아이스,아이스크림
롯데 찰떡 아이스 샌드류골라담기 국화빵 찰떡 아이스 등,샌드
롯데 찰떡 아이스 통팥+ 쿠키앤크림,아이스크림
롯데 초코퍼지 크런치바입 막대아이스크림 할인 브랜드 대용량 소프트 업소용 골라담기 도매 추,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
롯데 티코 밀크초코 2곽+셀렉션 초코/딸기 2곽 총 4곽,아이스크림
롯데 티코 아이스크림 밀크초코4곽 초코 아이스크림 간식 보관쉬운 초등 중등 간식 별미,아이스크림
롯데웰푸드 0칼로리 죠스바+스크류바 2종,아이스크림/바(막대)/제로슈거
롯데웰푸드 0칼로리 죠스바+스크류바+수박바 3종,아이스크림
롯데웰푸드 거북이바,"아이스크림/바(막대)/90ml/알레르기성분: 대두, 우유/표시기준분량: 90ml/열량: 185kcal/탄수화물: 18g/당류: 15g/단백질: 2g/지방: 12g/포화지방: 7g/트랜스지방: 0g/콜레스테롤: 5%/나트륨: 25mg"
롯데웰푸드 구구바,아이스크림/바(막대)/85ml/표시기준분량: 85ml/열량: 100kcal/탄수화물: 15g/당류: 7%/단백질: 2%/지방: 5g/포화지방: 3g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 20mg
롯데웰푸드 구구콘,아이스크림/콘/160ml/표시기준분량: 160ml/열량: 300kcal/탄수화물: 40g/당류: 18g/단백질: 4g/지방: 14g/포화지방: 8g/트랜스지방: 0.5g미만/콜레스테롤: 20mg/나트륨: 50mg
롯데웰푸드 구구콘한박스,콘
롯데웰푸드 구구콘 오리지날 X,콘
롯데웰푸드 구구크러스트홈,아이스크림
롯데웰푸드 국화빵 찰떡한박스 아이스크림 찰떡국화빵,
롯데웰푸드 국화빵 찰떡아이스 와플 빵빠레 샌드 초코퍼지 7종골라담기,샌드
롯데웰푸드 나뚜루 바질 마스카포네 파인트,아이스크림
롯데웰푸드 나뚜루 컵골라담기,아이스크림
롯데웰푸드 누크바,아이스크림/바(막대)
롯데웰푸드 더블비얀코 베리베리,"아이스크림/컵,파우치"
롯데웰푸드 더블크런치바 x초코바 간식,아이스크림
롯데웰푸드 델몬트 망고 바,아이스크림/바(막대)/75ml/표시기준분량: 75ml/열량: 110kcal/탄수화물: 25g/당류: 16g
롯데웰푸드 델몬트 샤인머스켓 청포도,바(막대)/75ml/저지방/표시기준분량: 75ml/열량: 95kcal/탄수화물: 24g/당류: 16g/지방: 0.8g/포화지방: 0.6g
롯데웰푸드 델몬트복숭아바,아이스크림
롯데웰푸드 델몬트샤인머스켓앤청포도바,아이스크림
롯데웰푸드 돼지바아이스크림,아이스크림
롯데웰푸드 돼지바 아이스크림,아이스크림
롯데웰푸드 돼지콘,아이스크림/콘
롯데웰푸드 롤리팝아이스 x,아이스크림
롯데웰푸드 롯데 메론먹은 죠스바 아이스크림입,아이스크림
롯데웰푸드 롯데제과 롯데 와플 바닐라,아이스크림
롯데웰푸드 롯데제과 바류 골라담기,아이스크림
롯데웰푸드 롯데제과 설레임 월드콘 12 12 골라담기-월드콘 바닐라,콘
롯데웰푸드 롯데제과 셀렉션-셀렉션 X,아이스크림
롯데웰푸드 롯데제과 티코 밀크초코아이스크림,아이스크림
롯데웰푸드 롯데푸드 거북알,"튜브(쭈쭈바)/튜브,파우치"
롯데웰푸드 롯데푸드 돼지바x,아이스크림
롯데웰푸드 롯데푸드 별난바 아이스크림,아이스크림
롯데웰푸드 롯데푸드 초코퍼지 아이스크림,
롯데웰푸드 말랑말랑한 찰떡 아이스 쿠키앤크림,"아이스크림/90ml/알레르기성분: 대두, 밀, 계란, 우유/표시기준분량: 90ml/열량: 180kcal/탄수화물: 34g/당류: 29g/단백질: 2g/지방: 3.6g/포화지방: 2.3g/트랜스지방: 0.1g/콜레스테롤: 10mg/나트륨: 45mg"
롯데웰푸드 말랑말랑한 찰떡아이스,"아이스크림/90ml/알레르기성분: 대두, 계란, 우유/
[영양정보] 표시기준분량: 90ml/열량: 180kcal/탄수화물: 32g/당류: 28g/단백질: 3g/지방: 4.4g/포화지방: 2.6g/트랜스지방: 0g/콜레스테롤: 5mg미만/나트륨: 25mg"
롯데웰푸드 말랑말랑한 찰떡아이스 쿠키앤크림,"아이스크림/컵,파우치/1회 제공량 90g당 열량: 180kcal/나트륨: 45mg/탄수화물: 34g/당류: 29g/지방: 3.6g/트랜스지방: 0.1g/포화지방: 2.3g/콜레스테롤: 10mg/단백질: 2g"
롯데웰푸드 메가톤 달고나라때,아이스크림/70ml/알레르기성분: 우유/표시기준분량: 70ml/열량: 155kcal/탄수화물: 25g/당류: 17g/단백질: 2g/지방: 5g/포화지방: 3.5g/트랜스지방: 0.5g미만/콜레스테롤: 15mg/나트륨: 70mg
롯데웰푸드 메가톤 달고나라떼 바입,아이스크림
롯데웰푸드 메가톤바,아이스크림/바(막대)/특징: 한박스
롯데웰푸드 미니멜츠드라이아이스 최신제조일자,아이스크림
롯데웰푸드 미니멜츠 구슬아이스크림 4종세트 레인보우5+초코5+캔디5+바나나5,아이스크림
롯데웰푸드 미니멜츠 빅구슬 아이스 초코우유,구슬
롯데웰푸드 미니멜츠 빅구슬 초코볼,아이스크림/구슬/70g/저지방/저염/표시기준분량: 70g/열량: 85kcal/탄수화물: 18g/당류: 15g/단백질: 2g/지방: 1.5g/포화지방: 1.1g/트랜스지방: 0g/콜레스테롤: 3mg/나트륨: 1%
롯데웰푸드 미니멜츠 빅구슬 포도앤소다,"아이스크림/구슬/70ml/무지방/표시기준분량: 70ml/열량: 65kcal/탄수화물: 16g/당류: 13%/단백질: 0g/지방: 0.2g/포화지방: 0.2g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0,g"
롯데웰푸드 미니멜츠빅 샤인머스켓,아이스크림/70ml/저지방/표시기준분량: 70ml/열량: 70kcal/탄수화물: 16g/당류: 13g/단백질: 0g/지방: 0.5g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 30mg
롯데웰푸드 바류 7종골라담기,아이스크림
롯데웰푸드 별난바한박스 드라이아이스+최신제조일자,아이스크림
롯데웰푸드 별난바 아이스크림,아이스크림
롯데웰푸드 별난바톡톡,아이스크림
롯데웰푸드 보석바,아이스크림/바(막대)/80ml/저지방/표시기준분량: 80ml/열량: 80kcal/탄수화물: 20g/당류: 14g/단백질: 0g/지방: 0.7g/포화지방: 0.7g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0%
롯데웰푸드 본가 찰옥수수,"아이스크림/140ml/알레르기성분: 대두, 밀, 우유/표시기준분량: 140ml/열량: 165kcal/탄수화물: 23g/당류: 15g/단백질: 2g/지방: 7g/포화지방: 4.8g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 70mg"
롯데웰푸드 본가 찰옥수수아이스크림,아이스크림/바(막대)
롯데웰푸드 본젤라또 바닐라,"아이스크림/컵,파우치/특징: 대용량(업소용)"
롯데웰푸드 빙빙바,아이스크림/바(막대)/특징: 한박스
롯데웰푸드 빠삐코,"아이스크림/튜브,파우치/130ml/표시기준분량: 130ml/열량: 155kcal/탄수화물: 26g/당류: 22g/단백질: 2g/지방: 5g/포화지방: 3.2g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 1%"
롯데웰푸드 빠삐코한박스 드라이아이스+최신제조일자,아이스크림
롯데웰푸드 빠삐코 초코 쮸쮸바 아이스크림입,아이스크림
롯데웰푸드 빵빠레 소프트바 멜론,아이스크림
롯데웰푸드 빵빠레 소프트바 바닐라 X,아이스크림
롯데웰푸드 빵빠레 소프트샌드 쿠앤크,"아이스크림/샌드/180ml/알레르기성분: 대두, 밀, 계란, 우유/표시기준분량: 180ml/열량: 195kcal/탄수화물: 10%/당류: 20g/단백질: 3g/지방: 6.0g/포화지방: 3.6g/트랜스지방: 0g/콜레스테롤: 45mg/나트륨: 115mg"
롯데웰푸드 설레임 4종혼합구성,"튜브(쭈쭈바)/튜브,파우치"
롯데웰푸드 설레임 밀크,"아이스크림/160ml/알레르기성분: 대두, 우유/유지방3%/
[영양정보] 표시기준분량: 160ml/열량: 160kcal/탄수화물: 25g/당류: 25g/단백질: 3g/지방: 5g/포화지방: 3.6g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 40mg"
롯데웰푸드 설레임 밀크/쿠앤크/까페라떼 3종골라담기,"아이스크림/튜브,파우치"
롯데웰푸드 설레임 밀크+ 설레임 카페라떼,"아이스크림/튜브,파우치/160ml"
롯데웰푸드 설레임 밀크쉐이크,"아이스크림/컵,파우치"
롯데웰푸드 설레임 밀크쉐이크+설레임 커피쉐이크,"튜브,파우치"
롯데웰푸드 설레임 카페라떼,"아이스크림/컵,파우치"
롯데웰푸드 설레임 커피쉐이크,"아이스크림/컵,파우치"
롯데웰푸드 설레임 쿠키앤크림,"아이스크림/컵,파우치/특징: 한박스"
롯데웰푸드 설레임 프로바이오틱스,"아이스크림/160ml/알레르기성분: 대두, 우유/
[영양정보] 표시기준분량: 160ml/열량: 175kcal/탄수화물: 28g/당류: 27g/단백질: 2g/지방: 6g/포화지방: 3.9g/트랜스지방: 0.5g 미만/콜레스테롤: 20mg/나트륨: 80mg"
롯데웰푸드 설레임밀크 커피쉐이크 2종,
롯데웰푸드 셀렉션,아이스크림/500ml/10개입/유지방9%/표시기준분량: 100ml/열량: 180kcal/탄수화물: 19g/당류: 15g/단백질: 2g/지방: 10g/포화지방: 7g/트랜스지방: 0.5g미만/콜레스테롤: 20mg/나트륨: 30mg
롯데웰푸드 셀렉션 셀렉션한박스 드라이아이스 최신제조일자,아이스크림
롯데웰푸드 셀렉션 아이스크림입,아이스크림
롯데웰푸드 셀렉션 아이스크림 싱글초코입,아이스크림
롯데웰푸드 셀렉션 초코,아이스크림
롯데웰푸드 수박바,아이스크림/바(막대)/75ml/표시기준분량: 75ml/열량: 90kcal/탄수화물: 19g/당류: 15g/지방: 1.6g/포화지방: 5%/콜레스테롤: 1mg/나트륨: 25mg
롯데웰푸드 스크류바 0칼로리,아이스크림/바(막대)/제로슈거/75ml/무지방/무당/알룰로스/표시기준분량: 75ml/열량: 0kcal/탄수화물: 18g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg
롯데웰푸드 스크류바,아이스크림/바(막대)
롯데웰푸드 스크류바 피치,아이스크림/바(막대)/특징: 한박스
롯데웰푸드 씨없는 수박바 제로,아이스크림
롯데웰푸드 아맛나,아이스크림/70ml/팥시럽 32%/표시기준분량: 70ml/열량: 115kcal/탄수화물: 25g/당류: 14g/단백질: 1g/지방: 1.3g/포화지방: 3%/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 15mg
롯데웰푸드 아이스바 10종골라담기,아이스크림
롯데웰푸드 옥동자,아이스크림/바(막대)/특징: 한박스
롯데웰푸드 옥동자 딸기,아이스크림/바(막대)/특징: 한박스
롯데웰푸드 와,"아이스크림/190ml/알레르기성분: 대두, 계란, 우유/표시기준분량: 190ml/열량: 230kcal/탄수화물: 37g/당류: 33g/단백질: 4g/지방: 7g/포화지방: 6g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 60mg"
롯데웰푸드 와 3종한박스 드라이아이스+최신제조일자,아이스크림
롯데웰푸드 와 아이스크림,아이스크림
롯데웰푸드 와 아이스크림 바닐라+사과+포도,아이스크림
롯데웰푸드 와 아이스크림 사과,"아이스크림/컵,파우치/특징: 한박스"
롯데웰푸드 와 아이스크림 포도,아이스크림
롯데웰푸드 와 포도 아이스크림,"아이스크림/컵,파우치/특징: 한박스"
롯데웰푸드 와일드바디,아이스크림
롯데웰푸드 와일드바디/아이스크림,
롯데웰푸드 월드콘 구구콘 돼지콘 설레임골라담기,"아이스크림/튜브(쭈쭈바)/콘/구성: 돼지콘, 구구콘, 설레임 밀크, 설레임 쿠키앤크림, 설레임 카페라떼"
롯데웰푸드 월드콘 마다가스카르 바닐라,아이스크림/콘
롯데웰푸드 월드콘 바닐라,"아이스크림/160ml/
[영양정보] 표시기준분량: 160ml/열량: 255kcal/탄수화물: 33g/당류: 21g/단백질: 4g/지방: 12g/포화지방: 7g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 50mg"
롯데웰푸드 월드콘 바닐라+ 초코,아이스크림/냉동보관
롯데웰푸드 월드콘 사과크럼블,아이스크림/콘/특징: 한박스
롯데웰푸드 월드콘 설레임 구구콘 돼지콘 등 콘 파우치골라담기,"콘/튜브,파우치"
롯데웰푸드 월드콘 설레임5종 X외 바류택 1구성,튜브(쭈쭈바)/콘
롯데웰푸드 월드콘 스테디셀러 3종세트,아이스크림
롯데웰푸드 월드콘 초코,아이스크림/콘
롯데웰푸드 월드콘 쿠키앤크림,아이스크림/콘
"롯데웰푸드 웰푸드 설레임,찰떡아이스 아이스크림 6종골라담기",튜브(쭈쭈바)
롯데웰푸드 위즐 바닐라 피칸,"아이스크림/컵,파우치"
롯데웰푸드 위즐 커피 앤 초코퍼지,"아이스크림/컵,파우치"
롯데웰푸드 위즐 커피 초코퍼지,아이스크림
롯데웰푸드 위즐칙촉,아이스크림
롯데웰푸드 인투더피치바,아이스크림/바(막대)
롯데웰푸드 일품 팥빙수,"아이스크림/컵,파우치/특징: 한박스"
롯데웰푸드 잇츠와플 바닐라,아이스크림/샌드
롯데웰푸드 잇츠와플 초코쿠키x옥동자,"아이스크림/140ml/알레르기성분: 밀, 우유/
[영양정보] 표시기준분량: 140ml/열량: 280kcal/탄수화물: 34g/당류: 20g/단백질: 4g/지방: 14g/포화지방: 9g/트랜스지방: 0.2g/콜레스테롤: 15mg/나트륨: 90mg"
롯데웰푸드 잘익은 수박바,아이스크림
롯데웰푸드 제로 미니 바이트 밀크 초코,아이스크림/샌드
롯데웰푸드 제로 밀크 모나카 아이스크림,아이스크림/샌드
롯데웰푸드 제로 아이스 딥초콜릿 파인트,"아이스크림/컵,파우치/제로슈거/474ml/무당/표시기준분량: 100ml/열량: 130kcal/탄수화물: 20g/당류: 0g/단백질: 2g/지방: 7g/포화지방: 4.8g/트랜스지방: 0.5g미만/콜레스테롤: 15mg/나트륨: 70mg"
롯데웰푸드 제로 아이스 미니바이트 밀크앤초코,"아이스크림/제로슈거/380ml/10개입/무당/알레르기성분: 대두, 우유/표시기준분량: 38ml/열량: 68kcal/탄수화물: 8g/당류: 0g/단백질: 1g미만/지방: 4.4g/포화지방: 3g/트랜스지방: 0.2g미만/콜레스테롤: 5mg미만/나트륨: 20mg"
롯데웰푸드 제로 아이스 밀크 모나카,"아이스크림/샌드/제로슈거/140ml/무당/인증정보: HACCP/알레르기성분: 대두, 밀, 우유/표시기준분량: 140ml/열량: 150kcal/탄수화물: 32g/당류: 0g/단백질: 2g/지방: 6g/포화지방: 3.9g/트랜스지방: 0.5g미만/콜레스테롤: 15mg/나트륨: 70mg"
롯데웰푸드 제로 아이스 밀크 모나카140m X+ 소프트콘,콘/샌드
롯데웰푸드 제로 아이스 밀크소프트콘,아이스크림/콘
롯데웰푸드 제로 아이스 쿠키앤크림 파인트,"아이스크림/컵,파우치/제로슈거/474ml/무당/표시기준분량: 100ml/열량: 117kcal/탄수화물: 21g/당류: 0g/단백질: 1g미만/지방: 6g/포화지방: 3.5g/트랜스지방: 0.5g미만/콜레스테롤: 15mg/나트륨: 85mg"
롯데웰푸드 제로 아이스 쿠키앤크림바,아이스크림/바(막대)/제로슈거/80ml/무당/표시기준분량: 80ml/열량: 166kcal/탄수화물: 16g/당류: 0g/단백질: 2g/지방: 12g/포화지방: 7g/트랜스지방: 0.5g미만/콜레스테롤: 10mg/나트륨: 80mg
롯데웰푸드 제로 아이스 트리플 초콜릿바,아이스크림/바(막대)/80ml/무당/표시기준분량: 80ml/열량: 150kcal/탄수화물: 16g/당류: 0g/단백질: 2g/지방: 11g/포화지방: 6g/트랜스지방: 0.5g미만/콜레스테롤: 5mg/나트륨: 2%
롯데웰푸드 제로 아이스크림 밀크 소프트콘,"아이스크림/콘/제로슈거/무당/알레르기성분: 밀, 우유/냉동보관/표시기준분량: 195ml/열량: 145kcal/탄수화물: 26g/당류: 0g/단백질: 2%/지방: 7g/포화지방: 5g/트랜스지방: 0.5g 미만/콜레스테롤: 20mg/나트륨: 115mg"
롯데웰푸드 제로 아이스크림 밀크 소프트콘+ 모나카+ 미니바이트,아이스크림
롯데웰푸드 제로 아이스크림 쿠키앤크림 파인트 + 딥초콜릿 파인트 + 모나카,아이스크림
롯데웰푸드 조안나 딸기,"아이스크림/컵,파우치/특징: 대용량(업소용)"
롯데웰푸드 조안나 딸기+ 초코,아이스크림
롯데웰푸드 조안나 리치바닐라입 후식아이스,아이스크림
롯데웰푸드 조안나 바닐라,"아이스크림/컵,파우치/특징: 대용량(업소용)"
롯데웰푸드 조안나 바닐라 리치,"아이스크림/컵,파우치"
롯데웰푸드 조안나 초코,"아이스크림/컵,파우치/특징: 대용량(업소용)"
롯데웰푸드 조안나바입,아이스크림/바(막대)
롯데웰푸드 죠스바 0칼로리,아이스크림/바(막대)/제로슈거/75ml/무지방/무당/알룰로스/표시기준분량: 75ml/열량: 0kcal/탄수화물: 18g/당류: 0g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 5mg
롯데웰푸드 죠스바입,아이스크림/바(막대)
롯데웰푸드 죠스바,아이스크림/바(막대)
롯데웰푸드 죠스바 제로+ 스크류바 제로+ 제로트리플 초콜릿+ 제로 쿠키앤크림,아이스크림
롯데웰푸드 죠크박,아이스크림
롯데웰푸드 주 롯데 제로 아이스 밀크 모나카+소프트콘,콘/샌드
롯데웰푸드 주물러 콜라,아이스크림/튜브(쭈쭈바)/특징: 한박스
롯데웰푸드 쫀득쫀득 찰떡아이스 홈,아이스크림
롯데웰푸드 찰떡 국화빵,"아이스크림/150ml/알레르기성분: 밀, 계란, 우유/팥시럽21.2%/표시기준분량: 150ml/열량: 205kcal/탄수화물: 12%/당류: 20g/단백질: 4g/지방: 4g/포화지방: 1.9g/트랜스지방: 0g/콜레스테롤: 5mg미만/나트륨: 4%"
롯데웰푸드 찰떡아이스 딸기라떼,"아이스크림/컵,파우치"
롯데웰푸드 찰떡아이스 부여알밤,"아이스크림/알레르기성분: 대두, 계란, 우유/표시기준분량: 90ml/열량: 172kcal/탄수화물: 11%/당류: 33%/단백질: 2g/지방: 2.7g/포화지방: 1.9g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 45mg"
롯데웰푸드 찰떡아이스 아이스크림아이스크림 초등 중등 간식 별미 학원 유치원 야유회 사무실,아이스크림
롯데웰푸드 찰떡아이스 잇츠와플 찰옥수수씩 총,아이스크림
롯데웰푸드 찰떡아이스 홈,"아이스크림/컵,파우치"
롯데웰푸드 찰옥수수,아이스크림/샌드
롯데웰푸드 찰옥수수입,아이스크림/샌드/1회 제공량 140ml당 열량: 165kcal/나트륨: 55mg/탄수화물: 22g/당류: 13g/지방: 7g/트랜스지방: 0g/포화지방: 5g/콜레스테롤: 5mg/단백질: 2g
롯데웰푸드 초코퍼지,아이스크림
롯데웰푸드 초코퍼지 크런치바,아이스크림/바(막대)/70ml/표시기준분량: 70ml/열량: 175kcal/탄수화물: 25g/당류: 18%/단백질: 2g/지방: 8g/포화지방: 27%/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 60mg
롯데웰푸드 초키초키,아이스크림/튜브(쭈쭈바)/특징: 한박스
롯데웰푸드 최신제조일자+드라이아이스 국화빵 찰떡한박스,아이스크림
롯데웰푸드 칙촉이 퐁당 위즐,"아이스크림/컵,파우치"
롯데웰푸드 쿠키오,"아이스크림/튜브,파우치/130ml/알레르기성분: 대두, 밀, 계란, 우유/코코아비스킷27.6%/표시기준분량: 130ml/열량: 190kcal/탄수화물: 8%/당류: 13g/단백질: 3g/지방: 8g/포화지방: 5g/트랜스지방: 0.5g미만/콜레스테롤: 15mg/나트륨: 140mg"
롯데웰푸드 쿨아이스크림 거북알,"아이스크림/튜브,파우치"
롯데웰푸드 쿨아이스크림 거북이,아이스크림
롯데웰푸드 쿨아이스크림 메가톤,아이스크림
롯데웰푸드 쿨아이스크림 아맛나,아이스크림
롯데웰푸드 쿨아이스크림 와일드바디,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
롯데웰푸드 쿨아이스크림 월드콘초코,
롯데웰푸드 쿨아이스크림 티코밀크초코,아이스크림
롯데웰푸드 티코 다크초코입,"아이스크림/컵,파우치"
롯데웰푸드 티코 다크초코 아이스크림입,아이스크림
롯데웰푸드 티코 밀크다크드라이아이스+최신제조일자,아이스크림
롯데웰푸드 티코 밀크초코입,"아이스크림/컵,파우치"
롯데웰푸드 파스퇴르 진한우유 아이스크림 파인트,"컵,파우치"
롯데웰푸드 포켓몬 주물러 콜라,"아이스크림/튜브,파우치"
롯데웰푸드 포켓몬 주물러 콜라x5+소다x5+쭈쭈바 샤인머스캣x5+망고x5+딸기x5,아이스크림
롯데웰푸드 폴라포 포도,아이스크림/120ml/무지방/표시기준분량: 120ml/열량: 70kcal/탄수화물: 17g/당류: 13g/단백질: 0g/지방: 0.3g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0%/나트륨: 1%
롯데제과 미니멜츠빅 포도앤소다향아이스아이스크림,아이스크림
롯데제과 조안나 대용량바닐라 딸기 초코 -조안나 딸기,아이스크림
롯데푸드 거북이바,아이스크림/바(막대)/특징: 한박스
롯데푸드 구구 크러스터 초코,"아이스크림/컵,파우치"
롯데푸드 구구바,아이스크림/바(막대)
롯데푸드 구구바 아이스크림,아이스크림
롯데푸드 구구콘 피넛버터,아이스크림/콘/특징: 한박스
롯데푸드 구구크러스터,"660ml/알레르기성분: 대두, 땅콩, 우유/유지방9%/
[영양정보] 표시기준분량: 100ml/열량: 140kcal/탄수화물: 19g/당류: 9g/단백질: 2g/지방: 6g/포화지방: 3.5g/트랜스지방: 0.5g미만/콜레스테롤: 15mg/나트륨: 35mg"
롯데푸드 구구크러스트홈,아이스크림
롯데푸드 델가 빙수팥,빙수/팥
롯데푸드 델몬트 망고 바,아이스크림/바(막대)
롯데푸드 델몬트 샤인머스켓 청포도,아이스크림/바(막대)/특징: 한박스
롯데푸드 돼지바,아이스크림/바(막대)
롯데푸드 돼지바 블랙,아이스크림/바(막대)
롯데푸드 돼지콘,아이스크림/콘
롯데푸드 돼지콘 블랙,아이스크림/콘
롯데푸드 롯데푸드 설빙 인절미아이스크림,
롯데푸드 롯데푸드_국화빵멀티_,
롯데푸드 맛있는아이스크림간식하드 맛있는하드 간식빙과,"과자,초콜릿,디저트/아이스크림,빙수/아이스크림"
롯데푸드 별난바 톡톡,아이스크림/바(막대)
롯데푸드 보석바,아이스크림/바(막대)
롯데푸드 블랙쿠키분태,빙수/재료
