Id,Name,Type,Price,Mall,Timestamp
매일유업 소화가 잘되는 우유 오리지널 락토프리 우유 190ml (멸균),64개,49190,11몰,405원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유, 락토프리/
[영양정보] 1회 제공량 190ml당 열량: 105kcal/탄수화물: 5.8g/당류: 3.2g/단백질: 5.9g/지방: 6.5g/포화지방: 4g/트랜스지방: 0.5g/콜레스테롤: 20mg/나트륨: 70mg/칼슘: 400mg"
매일유업 소화가 잘되는 우유 저지방 락토프리 930ml,"24개, 3달 배송",89920,5몰,403원/100ml,"흰우유/포장형태: 팩/특징: 저지방, 락토프리/
[영양정보] 1회 제공량 200ml당 열량: 75kcal/탄수화물: 6.2g/당류: 3.4g/단백질: 6.3g/지방: 3g/포화지방: 2g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 75mg/칼슘: 430mg"
매일유업 소화가 잘되는 우유 저지방 락토프리 930ml,"36개, 3달 배송",140200,5몰,419원/100ml,"흰우유/포장형태: 팩/특징: 저지방, 락토프리/
[영양정보] 1회 제공량 200ml당 열량: 75kcal/탄수화물: 6.2g/당류: 3.4g/단백질: 6.3g/지방: 3g/포화지방: 2g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 75mg/칼슘: 430mg"
빙그레 바나나맛 우유 240ml,9개,10370,4몰,480원/100ml,"바나나우유/포장형태: 페트/
[영양정보] 1회 제공량 240ml당 열량: 195kcal/탄수화물: 26g/당류: 26g/단백질: 7g/지방: 7g/포화지방: 4.5g/트랜스지방: 0g/콜레스테롤: 25mg/나트륨: 110mg"
롯데푸드 파스퇴르 무항생제 인증 목장우유 200ml,20개,24910,1몰,623원/100ml,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 200ml당 열량: 130kcal/탄수화물: 10g/당류: 10g/단백질: 6g/지방: 7.5g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 100mg"
서울우유 흰우유 1L (멸균),5개,13050,21몰,261원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 100ml당 열량: 70kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 4g/포화지방: 2.5g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 50mg/칼슘: 200mg"
매일유업 커피속에 모카치노 300ml,28개,32500,4몰,387원/100ml,"커피우유/포장형태: 팩/
[영양정보] 1회 제공량 300ml당 열량: 205kcal/탄수화물: 30g/당류: 30g/단백질: 6g/지방: 6.9g/포화지방: 5.2g/트랜스지방: 0.5g/콜레스테롤: 25mg/나트륨:160mg"
매일유업 우유속에 딸기과즙 300ml,14개,21440,1몰,510원/100ml,"딸기우유/포장형태: 페트/
[영양정보] 1회 제공량 300ml당 열량: 120kcal/탄수화물: 17.5g/당류: 15g/단백질: 4.5g/지방: 3.7g/포화지방: 2.2g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 100mg/칼슘: 155mg"
매일유업 딸기우유 200ml 24개+바나나는 원래 하얗다 190ml 24개,1세트,29500,25몰,315원/100ml,딸기우유/포장형태: 팩/특징: 멸균우유/구성: 딸기우유 200ml 24개+바나나는 원래 하얗다 190ml 24개
건국유업 THE 밀크 170ml,"20개, 1달 배송",33950,3몰,999원/100ml,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 170ml당 열량: 106kcal/탄수화물: 7.8g/당류: 7.8g/단백질: 5.1g/지방: 6g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 26mg/나트륨: 90mg/칼슘: 170mg/락토페린: 1.7mg"
동서식품 제티 쵸코렛맛 드링크 175ml,15개,6210,5몰,237원/100ml,초코우유/포장형태: 캔
이담 이담산양 오리지널 산양유 150ml,7개,11290,2몰,"1,075원/100ml","흰우유/포장형태: 페트/
[영양정보] 1회 제공량 150ml당 열량: 95kcal/탄수화물: 8g/당류: 4g/단백질: 5g/지방: 5g/포화지방: 1.9g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 65mg/칼슘: 95mg"
믈레코비타 아이러브밀크 3.5% 1L (멸균),8개,16840,2몰,211원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/1회 제공량 100ml당 열량: 63kcal/탄수화물: 4.7g/당류: 4.7g/단백질: 3.2g/지방: 3.5g/포화지방: 2.3g/트랜스지방: 0g/콜레스테롤: 8.1mg/나트륨: 40mg/칼슘: 105mg"
동서식품 제티 쵸코렛맛 드링크 175ml,120개,47650,5몰,227원/100ml,초코우유/포장형태: 캔
롯데칠성음료 가나 초코라떼 175ml,40개,18140,8몰,259원/100ml,"초코우유/포장형태: 캔/
[영양정보] 1회 제공량 175ml당 열량: 90kcal/탄수화물: 20g/당류: 19g/단백질: 2g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 5mg 미만/나트륨: 60mg"
믈레코비타 밀크 시크릿 우유 3.5% 250ml (멸균),36개,31960,1몰,355원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/1회 제공량 250ml당 열량: 158kcal/탄수화물: 11.8g/당류: 11.8g/단백질: 8g/지방: 8.8g/포화지방: 5.8g/트랜스지방: 0g/콜레스테롤: 20.3mg/나트륨: 100mg"
푸르밀 달고나라떼 250ml,30개,36780,1몰,490원/100ml,가공우유/1회 제공량 250ml당 열량: 190kcal/나트륨: 200mg/탄수화물: 35g/당류: 35g/지방: 3.6g/트랜스지방: 0g/포화지방: 3.4g/콜레스테롤: 10mg/단백질: 4.6g
동원F&B 덴마크 소화가 잘되는 우유 락토프리 190ml (멸균),240개,311200,3몰,682원/100ml,"흰우유/포장형태: 팩/특징: 멸균우유, 락토프리/
[영양정보] 1회 제공량 180ml당 열량: 120kcal"
매일유업 매일우유 멸균 저지방 우유 1프로 200ml x 24팩,,20270,3몰,,
서울우유 서울우유 서울 목장신선요구르트딸기 750ML,504원/100ml,3780,2몰,,포장형태: 페트
이담 이담산양 오리지널 150ml 20개,953원/100ml,28580,1몰,,흰우유/포장형태: 페트
롯데푸드 파스퇴르 산양유 단백질 우유 180ml 14개,721원/100ml,18160,2몰,,
롯데푸드 파스퇴르 전용목장 200mL 흰 멸균우유 18입 X2 36입,"15,560원/100ml",31120,2몰,,
연세유업 전용목장 우유 2300ml 1개,330원/100ml,7580,1몰,,
동원F&B 덴마크 산양우유 750ml 6개,731원/100ml,32880,3몰,,
서울에프엔비 뽀로로가 좋아하는 튼튼우유 24개 140ml,491원/100ml,16500,1몰,,
서울우유 흑임자우유 750ml X 4개,366원/100ml,10990,2몰,,가공우유
남양 맛있는우유 GT 소화잘되는 배안아픈 저지방우유 24p 4320ml 2개,219원/100ml,18900,3몰,,
롯데웰푸드 파스퇴르 우유 바나나 190ml 48개,410원/100ml,37400,3몰,,
서울에프엔비 뽀로로가 좋아하는 바나나우유 24개 140ml,473원/100ml,15900,1몰,,
빙그레 바나나맛 딸기맛 mini우유 120ml 1박스+1박스 골라담기,"31,583원/100ml",37900,1몰,,
배스킨라빈스 멸균우유 190ml 4종 2박스 골라담기,"17,984원/100ml",34170,17몰,,
매일유업 상하목장 멸균우유 200ml 24팩 48팩 72팩 96팩,"17,450원/100ml",34900,1몰,,
롯데푸드 파스퇴르 무항생제 유산균우유 180ml 10개,794원/100ml,14300,4몰,,
연세유업 전용목장 우유 900ml 2개,332원/100ml,5980,1몰,,
범산목장 오메가 밸런스 우유 750ml 1병,667원/100ml,5000,1몰,,
매일유업 S 매일 소화가 잘되는 우유 2종 오리지널 저지방 190ml 48팩,"19,789원/100ml",37600,2몰,,
서울우유 앙팡우유 1000ml 1개,375원/100ml,3750,4몰,,
