2024-10-17 13:22:40
52149611,커클랜드 시그니춰 소프트 앤 츄이 그라놀라 바 입 24g,64개,20144,6몰,,에너지바
53707019,네이처밸리 트레일 믹스바 1.6kg / 35g 48개입 코스트코,,24090,2몰,,에너지바
40642262,켈로그 프로틴바K 헤이즐넛다크초코 40gX24개,,27480,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/에너지바
53561978,켈로그 프로틴바 헤이즐넛 앤 다크초코 40g,24개,21120,4몰,,프로틴바
33988310,델타코리아 닥터유 에너지바 파워사이즈 330g 3개,,28570,1몰,,에너지바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
46782737,롯데웰푸드 이지프로틴 식물성단백질바 5개 / 프로틴바,,9630,2몰,,초코바
32880614,델타코리아 닥터유 닥터유 단백질바 주머니쏙 34g,24개,19800,7몰,243원/10g,에너지바/34g/표시기준분량: 34g(1봉지)/열량: 173kcal/탄수화물: 15g/당류: 7g/단백질: 8g/지방: 9g/포화지방: 2.6g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 70mg
47357165,밥스누(BOBSNU) 약콩 프로틴바 비건 10개입,,24160,1몰,,프로틴바
42804143,농심 켈로그 레드베리 에너지바 x4 25g[4입],,4580,2몰,,에너지바
51807998,동서식품 포스트 오레오 오즈컵 x 쿠앤쿠 씨리얼 30g,6개,9930,2몰,,초코바
33380111,오리온 닥터유 단백질바 주머니쏙 50g 48개,,53760,1몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
33356138,켈로그 라이스 크리스피 유니콘 30g 12개 + 크런치 에너지바 30g 12개,,34400,1몰,,에너지바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
32101250,롯데웰푸드 이지프로틴 식물성단백질바 27g,2,8800,49몰,12개,"프로틴바/알레르기성분: 대두, 땅콩, 밀/표시기준분량: 27g/열량: 99kcal/탄수화물: 13.5g/당류: 3.5g/단백질: 6g/지방: 3.0g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 55mg"
32101256,롯데웰푸드 이지프로틴 식물성단백질바 27g,1,18900,47몰,24개,"프로틴바/알레르기성분: 대두, 땅콩, 밀/표시기준분량: 27g/열량: 99kcal/탄수화물: 13.5g/당류: 3.5g/단백질: 6g/지방: 3.0g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 55mg"
34335035,롯데웰푸드 이지프로틴 식물성단백질바 27g,1개,780,17몰,289원/10g,"프로틴바/알레르기성분: 대두, 땅콩, 밀/표시기준분량: 27g/열량: 99kcal/탄수화물: 13.5g/당류: 3.5g/단백질: 6g/지방: 3.0g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 55mg"
32101640,롯데웰푸드 이지프로틴 고단백질바 60g,6개,12540,49몰,348원/10g,"프로틴바/60g/알레르기성분: 대두, 땅콩, 우유, 쇠고기/표시기준분량: 60g/열량: 195kcal/탄수화물: 7%/당류: 4.7g/단백질: 36%/지방: 5g/포화지방: 3.0g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 190mg"
33987707,롯데웰푸드 이지프로틴 고단백질바 60g,5개,11940,25몰,398원/10g,"프로틴바/60g/알레르기성분: 대두, 땅콩, 우유, 쇠고기/표시기준분량: 60g/열량: 195kcal/탄수화물: 7%/당류: 4.7g/단백질: 36%/지방: 5g/포화지방: 3.0g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 190mg"
32101613,롯데웰푸드 이지프로틴 고단백질바 60g,2,22610,92몰,12개,"프로틴바/60g/알레르기성분: 대두, 땅콩, 우유, 쇠고기/표시기준분량: 60g/열량: 195kcal/탄수화물: 7%/당류: 4.7g/단백질: 36%/지방: 5g/포화지방: 3.0g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 190mg"
32101538,롯데웰푸드 이지프로틴 고단백질바 60g,1,43100,34몰,24개,"프로틴바/60g/알레르기성분: 대두, 땅콩, 우유, 쇠고기/표시기준분량: 60g/열량: 195kcal/탄수화물: 7%/당류: 4.7g/단백질: 36%/지방: 5g/포화지방: 3.0g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 190mg"
32101547,롯데웰푸드 이지프로틴 멀티단백질바 40g,6개,9690,35몰,404원/10g,"프로틴바/40g/알레르기성분: 대두, 우유, 쇠고기/표시기준분량: 40g/열량: 130kcal/탄수화물: 15g/당류: 6g/단백질: 12g/지방: 4.0g/포화지방: 15%/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 100mg"
32101430,롯데웰푸드 이지프로틴 멀티단백질바 40g,2,16630,42몰,12개,"프로틴바/40g/알레르기성분: 대두, 우유, 쇠고기/표시기준분량: 40g/열량: 130kcal/탄수화물: 15g/당류: 6g/단백질: 12g/지방: 4.0g/포화지방: 15%/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 100mg"
32101625,롯데웰푸드 이지프로틴 멀티단백질바 40g,1,30710,35몰,24개,"프로틴바/40g/알레르기성분: 대두, 우유, 쇠고기/표시기준분량: 40g/열량: 130kcal/탄수화물: 15g/당류: 6g/단백질: 12g/지방: 4.0g/포화지방: 15%/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 100mg"
32061077,오리온 오! 그래놀라 단백질바 리얼초콜릿맛 160g,1개,3980,2몰,"2,488원/100g",에너지바/4개입/160g
33423902,롯데푸드 파스퇴르 이지프로틴 단백질바 3종 4+4+4 혼합구성,,17770,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/에너지바
43066196,해태제과 얼려먹는 초코만들기 36g x1,,1220,3몰,,초코바
31471037,이마트 노브랜드 단백질바 초코 4입 40gx4,,2880,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
49639094,켈로그 대용량 시리얼 콘프로스트 첵스초코 아몬드 푸레이크 스페셜k 그랜베리그래놀라 골라담기,,8840,2몰,,초코바
35390642,켈로그 콘푸로스트콘1.5kg 대용량으로 바삭바삭 엔너지 충전,,14900,1몰,,에너지바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
32019374,해태제과 우리가족 칼로리바란스 치즈 76g 3개 자취 엄마간식 순삭 영양밸런스 담백 아이 사무실 회사 탕비실,,4680,1몰,,에너지바
48640928,동서식품 포스트 콘푸라이트 _MC 600g,5개,17950,2몰,,초코바
42896225,동서식품 포스트 콘푸라이트 밀크바 270g,1,15260,2몰,2개,에너지바
42337052,동서식품 포스트 콘푸라이트 밀크바 270g,2,40000,1몰,5개,에너지바
30119309,롯데웰푸드 BTS X 크런키 더블크런치바 미니 513g,1개,11070,1몰,216원/10g,"초코바/513g/알레르기성분: 대두, 땅콩, 밀, 계란, 우유/
[영양정보] 표시기준분량: 100g/열량: 530kcal/탄수화물: 54g/당류: 36g/단백질: 9g/지방: 31g/포화지방: 11g/트랜스지방: 0.6g/콜레스테롤: 10mg/나트륨: 130,g"
30118931,롯데웰푸드 BTS X 크런키 더블크런치바 미니 361g,2개,15350,1몰,213원/10g,"초코바/알레르기성분: 대두, 땅콩, 밀, 계란, 우유/
[영양정보] 표시기준분량: 100g/열량: 530kcal/탄수화물: 54g/당류: 36g/단백질: 9g/지방: 31g/포화지방: 11g/트랜스지방: 0.6g/콜레스테롤: 10mg/나트륨: 130mg"
47357582,켈로그 시리얼 디스펜서 + 코코팝스 460g,,29250,4몰,,초코바
42896384,동서식품 포스트 오곡코코볼바 250g,5개,40000,2몰,,에너지바
52363574,유나이티드 커피맛 캔디 140g,10개,33990,1몰,,초코바
43066073,해태제과 자유시간 미니 쿠키앤크림 400g,2개,31500,1몰,,초코바
42896501,오리온 닥터유 프로 단백질바 크런치 70g,21개,42140,2몰,,프로틴바
29974175,씨알푸드 씨알로 프로틴 인절미 콘플레이크 350g 1개,,5400,1몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
29905022,켈로그 에너지바 Best 3종 6 + 6 골라담기 크런치넛30g 6개 다크초코씨솔트30g 6개 1세트,,13200,2몰,,에너지바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
29904614,남도미향 아루화 하루영양바 25g 24개입 40개입 50개입 뉴트리션바 25g 40개,,52000,2몰,,에너지바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
31678928,퀘스트뉴트리션 프로틴 쿠키 초콜릿 칩 저당 12입 4개,,246760,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바
52148906,롯데 초코바 올인원팩 368g,3개,20511,30몰,,초코바
