Name,Spec
Sachsenmilch 작센 우유 3.5%,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 200ml당 열량: 128kcal/탄수화물: 9.4g/당류: 9.4g/단백질: 7g/지방: 7g/포화지방: 4.6g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 100mg"
건국유업 THE 밀크,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 170ml당 열량: 106kcal/탄수화물: 7.8g/당류: 7.8g/단백질: 5.1g/지방: 6g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 26mg/나트륨: 90mg/칼슘: 170mg/락토페린: 1.7mg"
건국유업 건국 멸균우유,
건국유업 검은콩과 발아곡물,"가공우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 56kcal"
건국유업 고소하고 진한 건국 우유,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 130kcal/탄수화물: 9g/당류: 9g/단백질: 7g/지방: 7.5g/포화지방: 4.5g/트랜스지방: 0g/콜레스테롤: 25mg/나트륨: 100mg/칼슘: 200mg"
건국유업 딸기가 우유에 반했다쿠,"딸기우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 70kcal"
건국유업 소화가 편안한 우유 락토프리,"흰우유/포장형태: 페트/특징: 락토프리/
[영양정보] 1회 제공량 100ml당 열량: 65kcal"
건국유업 신선함이 가득한 우리우유,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 200ml당 열량: 130kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 8g/포화지방: 5g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 100mg/칼슘: 200mg"
건국유업 오늘좋은 소화가 편한 우유,
건국유업 착한목장 무항생제 우유,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 64kcal/탄수화물: 4.6g/당류: 4.6g/단백질: 3g/지방: 3.7g/포화지방: 2.5g/트랜스지방: 0g/나트륨: 50mg/칼슘: 100mg"
건국유업 착한목장 무항생제 인증 우유,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 121kcal/탄수화물: 8.7g/당류: 8.7g/단백질: 5.7g/지방: 7g/포화지방: 4.3g/트랜스지방: 0g/콜레스테롤: 29mg/나트륨: 95mg/칼슘: 190mg"
건국유업 착한목장 소화가 잘되는 우유,"흰우유/포장형태: 팩/특징: 멸균우유, 락토프리/
[영양정보] 1회 제공량 190ml당 열량: 121kcal/탄수화물: 8.7g/당류: 8.7g/단백질: 5.7g/지방: 7g/포화지방: 4.3g/트랜스지방: 0g/콜레스테롤: 29mg/나트륨: 95mg/칼슘: 190mg"
건국유업 초코가 우유에 반했다쿠,초코우유/포장형태: 팩
남양 3.4 우유맛 분말 스틱 60T 라떼 랜덤 4T 증정,
남양 T 맛있는우유GT 속이편한 락토프리 멸균우유,
남양 T 맛있는우유GT 초코우유멸균우유,
남양 가정배달 맛있는우유GT 아침의선물 930 월,
남양 남양 맛있는우유GT 흰우유/ 멸균우유,
남양 남양 아인슈타인 일반/ 멸균우유,
남양 맛있는 우유 GT,흰우유/포장형태: 페트
남양 맛있는 우유 GT 고소한 저지방,"흰우유/포장형태: 팩/
[영양정보]"
남양 맛있는 우유 GT 딸기,포장형태: 팩/180ml
남양 맛있는 우유 GT 소화잘되는 배안아픈 단백질우유,
남양 맛있는 우유 초코,초코우유/포장형태: 종이팩/180ml
남양 맛있는 우유 커피,"커피우유/커피우유/포장형태: 팩/
[영양정보]"
남양 맛있는우유 GT 멸균팩,
남양 맛있는우유 GT 소화잘되는 배안아픈 저지방우유 24p,
남양 맛있는우유GT,
남양 맛있는우유GT 화이트 멸균우유,
남양 맛있는우유GT 화이트 우유,
남양 소화 잘되는 배 안아픈 우유 진짜 고소한 락토프리우유멸균우유,
남양 소화잘되는 배안아픈우유 진짜 고소한 락토프리우유,
남양 아인슈타인 베이비 멸균우유,
남양 아인슈타인플러스 화이트 DHA 멸균우유,
남양 아인슈타인플러스 화이트 멸균우유,
남양 유업 소화잘되는 배안아픈우유 진짜 고소한 락토프리우유,
남양 진하고 달콤한 초코에몽/ 초코우유,초코우유
남양 초코에몽/딸기에몽 멸균우유,
남양유업 남양 3.4 우유맛 스틱 30T,"흰우유/포장형태: 스틱/총량: 30T/
[영양정보] 1회 제공량 17.2g당 열량: 70kcal/탄수화물: 12g/당류: 9g/단백질: 2g/지방: 1.6g/포화지방: 1.5g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 110mg"
남양유업 딸기에몽,"딸기우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 180ml당 열량: 175kcal/탄수화물: 25g/당류: 20g/단백질: 5g/지방: 6g/포화지방: 4.1g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 80mg"
남양유업 맛있는 우유 GT 소화 잘되는 배 안아픈 우유 저지방&프리바이오틱스,"흰우유/포장형태: 팩/특징: 저지방, 락토프리/
[영양정보] 1회 제공량 100ml당 열량: 45kcal"
남양유업 맛있는우유 GT,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량당 열량: 130kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 8g/포화지방: 5g/트랜스지방: 0g/콜레스테롤: 30mg/나트륨: 100mg/칼슘: 200mg"
남양유업 맛있는우유 GT 고소한 락토프리 저지방,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방, 락토프리/
[영양정보] 1회 제공량 180ml당 열량: 85kcal/탄수화물: 8.1g/당류: 8.1g/단백질: 5.7g/지방: 3.3g/포화지방: 2.2g/트랜스지방: 0.5g 미만/콜레스트롤 11mg/나트륨: 90mg/칼슘: 180mg"
남양유업 맛있는우유 GT 고소한 저지방,"흰우유/포장형태: 팩/특징: 멸균우유, 저지방/
[영양정보] 1회 제공량 180ml당 열량: 85kcal/탄수화물: 8g/당류: 8g/단백질: 5.4g/지방: 3.6g/포화지방: 2.3g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 90mg/칼슘: 405mg"
남양유업 맛있는우유 GT 깔끔한 저지방,"흰우유/포장형태: 팩/특징: 저지방/
[영양정보] 1회 제공량 200ml당 열량: 85kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 2.6g/포화지방: 1.6g/트랜스지방: 0g/콜레스테롤: 10mg/나트륨: 100mg/칼슘: 205mg"
남양유업 맛있는우유 GT 딸기,"딸기우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 180ml당 열량: 130kcal/탄수화물: 20g/당류: 19g/단백질: 4g/지방: 4g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 75mg"
남양유업 맛있는우유 GT 소화 잘되는 배 안아픈 우유,"흰우유/포장형태: 팩/특징: 멸균우유, 락토프리/
[영양정보] 1회 제공량 180ml당 열량: 115kcal/탄수화물: 8.1g/당류: 8.1g/단백질: 5.7g/지방: 7.2g/포화지방: 4.5g/트랜스지방: 0.5g 미만/콜레스트롤 22.5mg/나트륨: 90mg/칼슘: 180mg"
남양유업 맛있는우유 GT 슈퍼밀크,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 55kcal/탄수화물: 5.5g/당류: 5.5g/단백질: 3.8g/지방: 2g/포화지방: 1.4g/트랜스지방: 0g/콜레스트롤 9mg/나트륨: 50mg/칼슘 120mg"
남양유업 맛있는우유 GT 아인슈타인,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 125kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 7g/포화지방: 4.8g/트랜스지방: 0.5g미만/콜레스테롤: 25mg/나트륨: 100mg/칼슘: 180mg/칼슘: 190mg"
남양유업 맛있는우유 GT 초코,"초코우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 180ml당 열량: 125kcal/탄수화물: 19g/당류: 19g/단백질: 4g/지방: 3.9g/포화지방: 2.5g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 75mg"
남양유업 맛있는우유GT 딸기,"딸기우유/포장형태: 팩/
[영양정보] 1회 제공량 180ml당 열량: 125kcal/탄수화물: 18g/당류: 18g/단백질: 4g/지방: 4g/포화지방: 2.8g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 75mg"
남양유업 맛있는우유GT 초코,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 180ml당 열량: 180kcal/탄수화물: 28g/당류: 18g/단백질: 4.8g/지방: 5.4g/포화지방: 4.8g/트랜스지방: 0g/콜레스테롤: 6mg/나트륨: 80mg"
남양유업 아인슈타인,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 3.5g/포화지방: 2.2g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 50mg/칼슘: 100mg"
남양유업 아인슈타인 천연DHA 우유 플러스,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 120ml당 열량: 85kcal/탄수화물: 6g/당류: 6g/단백질: 3.8g/지방: 4.9g/포화지방: 3.4g/트랜스지방: 0.5g 미만/콜레스테롤: 18mg/나트륨: 65mg/칼슘: 140mg"
남양유업 초코에몽,"초코우유/포장형태: 캔/
[영양정보] 1회 제공량 175ml당 열량: 120kcal/탄수화물: 24g/당류: 23g/단백질: 2g/지방: 2g/포화지방: 1.3g/트랜스지방: 0g/콜레스테롤: 7mg/나트륨: 70mg"
남양유업 초코에몽 프로틴,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 190ml당 열량: 177kcal"
다나멸균 우유 풀 크림,흰우유/포장형태: 테트라팩/특징: 멸균제품/1L
다나우유 풀크림,"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 100ml당 열량: 64kcal/탄수화물: 4.8g/당류:4.8g/단백질: 3.3g/지방: 3.5g/포화지방: 2.3g/트랜스지방: 0.1g/콜레스테롤: 10mg/나트륨: 50mg"
담터 자판기 우유맛 한잔입/스틱,
담터 자판기 우유맛 한잔입,
동서식품 제티 쵸코렛맛 드링크,초코우유/포장형태: 캔
동원F&B 덴마크 대니쉬 the 건강한 우유,"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 125kcal"
동원F&B 덴마크 대니쉬 더 건강한 우유,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 200ml당 열량: 125kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 7g/포화지방: 4.8g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 100mg/칼슘: 200mg"
동원F&B 덴마크 대니쉬 우유 동물복지,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 3.5g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 50mg/칼슘: 100mg"
동원F&B 덴마크 대니쉬 우유 무항생제,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 3.5g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 50mg/칼슘: 100mg"
동원F&B 덴마크 더 진하고 달콤한 딸기딸기우유,"딸기우유/포장형태: 팩/
[영양정보] 1회 제공량 300ml당 열량: 230kcal"
동원F&B 덴마크 덴마크 산양우유,흰우유/포장형태: 페트
동원F&B 덴마크 동원 산양프로틴 우유,
동원F&B 덴마크 모닝시리얼 그래놀라 우유,"가공우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 145kcal"
동원F&B 덴마크 모닝시리얼 약콩 우유,"가공우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 155kcal"
